invoicedate,quantity
2009-12-01,32
2009-12-01,32
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,6
2009-12-01,12
2009-12-01,24
2009-12-01,4
2009-12-01,24
2009-12-01,12
2009-12-01,12
2009-12-01,10
2009-12-01,10
2009-12-01,20
2009-12-01,10
2009-12-01,10
2009-12-01,24
2009-12-01,24
2009-12-01,10
2009-12-01,10
2009-12-01,10
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,2
2009-12-15,36
2009-12-15,24
2009-12-15,4
2009-12-15,24
2009-12-15,12
2009-12-15,40
2009-12-15,24
2009-12-15,24
2009-12-15,4
2009-12-15,6
2009-12-15,24
2009-12-15,24
2009-12-15,12
2009-12-15,4
2009-12-15,6
2009-12-15,6
2009-12-15,2
2009-12-15,24
2009-12-15,12
2009-12-15,12
2009-12-15,40
2010-01-27,24
2010-01-27,5
2010-01-27,6
2010-01-27,5
2010-01-27,8
2010-01-27,6
2010-01-27,2
2010-01-27,6
2010-01-27,4
2010-01-27,2
2010-01-27,12
2010-01-27,2
2010-01-27,12
2010-01-27,10
2010-01-27,10
2010-01-27,3
2010-01-27,12
2010-01-27,12
2010-01-27,12
2010-01-27,4
2010-01-27,5
2010-01-27,24
2010-01-27,24
2010-01-27,24
2010-01-27,2
2010-01-27,1
2010-01-27,5
2010-01-27,12
2010-01-27,12
2010-01-27,24
2010-01-27,25
2010-01-27,12
2010-01-27,24
2010-01-27,32
2010-01-27,10
2010-01-27,8
2010-01-27,10
2010-01-27,2
2010-01-27,4
2010-01-27,6
2010-01-27,6
2010-01-27,6
2010-01-27,10
2010-01-27,12
2010-01-27,12
2010-01-27,36
2010-01-27,36
2010-01-27,10
2010-01-27,10
2010-01-27,20
2010-01-27,10
2010-01-27,10
2010-01-27,72
2010-02-05,1
2010-04-29,20
2010-04-29,10
2010-04-29,20
2010-04-29,20
2010-04-29,20
2010-04-29,10
2010-04-29,2
2010-04-29,32
2010-04-29,96
2010-04-29,4
2010-04-29,6
2010-04-29,4
2010-04-29,12
2010-04-29,24
2010-04-29,12
2010-04-29,12
2010-04-29,12
2010-04-29,12
2010-04-29,24
2010-04-29,24
2010-04-29,24
2010-04-29,12
2010-04-29,8
2010-04-29,8
2010-10-11,48
2010-10-11,24
2010-10-11,4
2010-10-11,40
2010-10-11,12
2010-10-11,12
2010-10-11,24
2010-10-11,12
2010-10-11,40
2010-10-11,32
2010-10-11,12
2010-10-11,24
2010-10-11,12
2010-10-11,2
2010-10-11,2
2010-10-11,10
2010-10-11,10
2010-10-11,40
2010-10-11,4
2010-11-14,24
2010-11-14,2
2010-11-14,40
2010-11-14,20
2010-11-14,20
2010-11-14,20
2010-11-14,20
2010-11-14,120
2010-11-14,24
2010-11-14,2
2010-11-14,12
2010-11-14,12
2010-11-14,48
2010-11-14,4
2010-11-14,3
2010-11-28,80
2010-11-28,80
2010-11-28,12
2010-11-28,12
2010-11-28,12
2010-11-28,24
2010-11-28,8
2010-11-28,12
2010-12-01,8
2010-12-01,12
2010-12-01,8
2010-12-01,12
2010-12-01,6
2010-12-01,12
2010-12-01,12
2010-12-01,12
2010-12-01,12
2010-12-01,8
2010-12-01,3
2010-12-01,4
2010-12-01,6
2010-12-01,6
2010-12-01,2
2010-12-01,2
2010-12-01,12
2010-12-08,12
2010-12-08,12
2010-12-08,72
2010-12-08,72
2010-12-08,72
2010-12-08,12
2010-12-08,12
2011-01-09,8
2011-01-09,12
2011-01-09,12
2011-01-09,12
2011-01-09,8
2011-01-09,12
2011-01-09,24
2011-01-09,32
2011-01-09,32
2011-04-01,12
2011-04-01,2
2011-04-01,10
2011-04-01,10
2011-04-01,10
2011-04-01,10
2011-04-01,12
2011-04-01,12
2011-04-01,2
2011-04-01,2
2011-04-01,2
2011-04-01,12
2011-04-01,3
2011-04-01,3
2011-04-01,6
2011-05-22,1
2011-05-22,1
2011-05-22,1
2011-05-22,1
2011-05-22,1
2011-05-22,12
2011-05-22,12
2011-05-22,9
2011-05-22,6
2011-05-22,6
2011-05-22,6
2011-05-22,10
2011-05-22,6
2011-05-22,6
2011-05-22,2
2011-05-22,10
2011-05-22,10
2011-05-22,10
2011-05-22,2
2011-05-22,6
2011-05-22,10
2011-05-22,6
2011-05-22,48
2011-05-22,48
2011-05-22,8
2011-05-22,6
2011-05-22,1
2011-05-22,10
2011-05-22,48
2011-05-22,24
2011-05-22,12
2011-05-22,4
2011-05-22,32
2011-05-22,1
2011-05-22,24
2011-05-22,10
2011-05-22,10
2011-05-22,3
2011-05-22,3
2011-05-22,288
2011-05-22,6
2011-05-22,24
2011-05-22,3
2011-05-22,2
2011-05-22,48
2011-05-22,3
2011-05-22,32
2011-11-01,40
2011-11-01,10
2011-11-01,2
2011-11-01,18
2011-11-01,4
2011-11-01,24
2011-11-01,10
2011-11-01,10
2011-11-01,10
2011-11-01,10
2011-11-01,20
2011-11-28,15
2011-11-28,40
2011-11-28,40
2011-11-28,12
2011-11-28,6
2011-11-28,20
2011-11-28,20
2011-11-28,10
2011-11-28,12
2011-11-28,12
2011-11-28,6
2009-12-01,12
2009-12-01,32
2009-12-01,6
2009-12-01,6
2009-12-01,4
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,12
2009-12-01,12
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,3
2009-12-01,4
2009-12-01,6
2009-12-01,6
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,8
2009-12-01,6
2009-12-01,5
2009-12-01,4
2009-12-01,4
2009-12-01,2
2009-12-01,6
2009-12-01,6
2009-12-01,2
2009-12-01,2
2009-12-01,2
2009-12-01,3
2009-12-01,6
2009-12-01,2
2009-12-01,2
2010-01-26,3
2010-01-26,32
2010-01-26,2
2010-01-26,8
2010-01-26,10
2010-01-26,48
2010-01-26,10
2010-01-26,10
2010-01-26,10
2010-01-26,10
2010-01-26,12
2010-01-26,6
2010-01-26,6
2010-01-26,6
2010-01-26,10
2010-01-26,12
2010-01-26,24
2010-01-26,12
2010-01-26,12
2010-01-26,3
2010-01-26,10
2010-03-09,16
2010-03-09,24
2010-03-09,4
2010-03-09,1
2010-03-09,12
2010-03-09,12
2010-03-09,12
2010-03-09,6
2010-03-09,8
2010-03-09,8
2010-03-09,12
2010-03-09,12
2010-03-09,2
2010-03-09,8
2010-03-09,1
2010-03-09,6
2010-03-09,12
2010-03-09,6
2010-03-09,2
2010-03-09,6
2010-03-09,12
2010-03-09,1
2010-03-09,32
2010-04-01,24
2010-04-01,6
2010-04-01,3
2010-04-01,3
2010-04-01,3
2010-04-01,2
2010-04-01,2
2010-04-01,12
2010-04-01,6
2010-04-01,6
2010-04-01,25
2010-04-01,25
2010-04-01,25
2010-04-01,25
2010-04-01,12
2010-04-01,24
2010-04-01,6
2010-04-01,6
2010-04-01,6
2010-04-01,48
2010-05-10,12
2010-05-10,4
2010-05-10,24
2010-05-10,24
2010-05-10,12
2010-05-10,12
2010-05-10,6
2010-05-10,12
2010-05-10,32
2010-05-10,4
2010-05-10,2
2010-05-10,2
2010-05-10,2
2010-05-10,12
2010-05-10,12
2010-05-10,24
2010-05-10,6
2010-05-10,3
2010-05-10,5
2010-05-10,8
2010-05-10,1
2010-05-10,3
2010-05-10,6
2010-05-10,12
2010-05-10,6
2010-05-10,48
2010-05-10,25
2010-05-10,25
2010-07-22,1
2010-07-22,6
2010-07-22,12
2010-07-22,4
2010-07-22,2
2010-07-22,6
2010-07-22,2
2010-07-22,4
2010-07-22,12
2010-07-22,4
2010-07-22,12
2010-07-22,4
2010-07-22,10
2010-07-22,6
2010-07-22,2
2010-07-22,3
2010-07-22,6
2010-07-22,4
2010-07-22,6
2010-07-22,12
2010-07-22,2
2010-07-22,8
2010-07-22,32
2010-07-22,12
2010-07-22,6
2010-08-17,12
2010-08-17,32
2010-08-17,4
2010-08-17,6
2010-08-17,2
2010-08-17,10
2010-08-17,12
2010-08-17,6
2010-08-17,8
2010-08-17,12
2010-08-17,12
2010-08-17,6
2010-08-17,6
2010-08-17,12
2010-08-17,12
2010-08-17,12
2010-08-17,12
2010-08-17,12
2010-08-17,12
2010-08-17,12
2010-10-12,10
2010-10-12,10
2010-10-12,10
2010-10-12,12
2010-10-12,12
2010-10-12,12
2010-10-12,32
2010-10-12,3
2010-10-12,4
2010-10-12,3
2010-10-12,4
2010-10-12,25
2010-10-12,2
2010-10-12,12
2010-10-12,12
2010-10-12,12
2010-10-12,6
2010-11-23,32
2010-11-23,6
2010-11-23,12
2010-11-23,3
2010-11-23,12
2010-11-23,24
2010-11-23,6
2010-11-23,24
2010-11-23,12
2010-11-23,16
2010-11-23,6
2010-11-23,12
2010-11-23,8
2010-11-23,6
2010-11-23,6
2010-11-23,6
2010-11-23,10
2010-11-23,10
2010-11-23,12
2010-11-23,14
2010-11-23,12
2010-11-23,12
2010-11-23,4
2010-11-23,12
2010-11-23,12
2010-11-23,12
2011-03-03,32
2011-03-03,3
2011-03-03,6
2011-03-03,2
2011-03-03,24
2011-03-03,12
2011-03-03,12
2011-03-03,12
2011-03-03,12
2011-03-03,4
2011-03-03,8
2011-03-03,12
2011-03-03,12
2011-03-03,1
2011-03-03,2
2011-03-03,12
2011-03-03,6
2011-03-03,2
2011-03-03,2
2011-03-03,4
2011-03-03,6
2011-03-03,1
2011-03-03,12
2011-03-03,12
2011-03-03,4
2011-03-03,4
2011-03-03,10
2011-03-03,10
2011-03-03,12
2011-03-03,12
2011-03-03,6
2011-03-03,2
2011-03-03,12
2011-03-03,12
2011-03-03,12
2011-03-03,12
2011-05-10,12
2011-05-10,6
2011-05-10,12
2011-05-10,2
2011-05-10,2
2011-05-10,4
2011-05-10,2
2011-05-10,6
2011-05-10,5
2011-05-10,5
2011-05-10,4
2011-05-10,6
2011-05-10,8
2011-05-10,6
2011-05-10,3
2011-05-10,3
2011-05-10,4
2011-05-10,4
2011-05-10,3
2011-05-10,6
2011-05-10,2
2011-05-10,12
2011-05-10,5
2011-05-10,12
2011-05-10,6
2011-05-10,32
2011-05-10,4
2011-05-10,4
2011-09-06,12
2011-09-06,12
2011-09-06,12
2011-09-06,6
2011-09-06,3
2011-09-06,6
2011-09-06,12
2011-09-06,8
2011-09-06,12
2011-09-06,12
2011-09-06,24
2011-09-06,12
2011-09-06,12
2011-09-06,24
2011-09-06,12
2011-09-06,12
2011-09-06,12
2011-09-06,24
2011-09-06,4
2011-09-06,32
2011-09-06,4
2011-09-06,3
2011-09-06,6
2011-09-06,4
2011-09-06,3
2011-09-06,3
2011-09-06,8
2011-09-06,10
2011-09-06,10
2011-09-06,12
2011-11-23,12
2011-11-23,6
2011-11-23,10
2011-11-23,12
2011-11-23,6
2011-11-23,12
2011-11-23,5
2011-11-23,6
2011-11-23,6
2011-11-23,6
2011-11-23,24
2011-11-23,24
2011-11-23,12
2011-11-23,6
2011-11-23,12
2011-11-23,6
2011-11-23,2
2011-11-23,4
2011-11-23,2
2011-11-23,1
2011-11-23,36
2011-11-23,6
2011-11-23,6
2011-11-23,6
2011-11-23,3
2011-11-23,8
2011-11-23,6
2011-11-23,6
2011-11-23,12
2011-11-23,12
2011-11-23,6
2011-11-23,6
2011-11-23,10
2011-11-23,12
2011-11-23,12
2011-11-23,12
2011-11-23,12
2011-11-23,16
2011-11-23,12
2011-11-23,12
2011-11-23,12
2011-11-23,2
2011-11-23,2
2011-11-23,4
2011-11-23,4
2011-11-23,24
2011-11-23,2
2011-11-23,6
2009-12-01,3
2009-12-01,1
2009-12-01,1
2009-12-01,2
2009-12-01,6
2009-12-01,4
2009-12-01,1
2009-12-01,1
2009-12-01,2
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,6
2009-12-01,2
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,4
2009-12-01,36
2009-12-01,2
2009-12-01,2
2009-12-01,6
2009-12-01,2
2009-12-01,1
2009-12-01,1
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,3
2009-12-01,6
2009-12-01,24
2009-12-01,7
2009-12-01,10
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,2
2009-12-01,2
2009-12-01,2
2009-12-01,3
2009-12-01,6
2009-12-01,2
2009-12-01,4
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,25
2009-12-01,2
2009-12-01,6
2009-12-01,4
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,8
2009-12-01,6
2009-12-01,12
2009-12-01,5
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,2
2009-12-01,1
2009-12-01,2
2009-12-01,2
2009-12-01,1
2009-12-01,3
2009-12-01,1
2009-12-01,2
2009-12-01,1
2009-12-01,10
2009-12-01,4
2009-12-01,7
2009-12-01,6
2009-12-01,6
2009-12-01,8
2009-12-01,1
2009-12-01,8
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,4
2009-12-01,4
2009-12-01,4
2009-12-01,4
2009-12-01,4
2009-12-01,1
2009-12-01,2
2009-12-01,2
2009-12-01,2
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,1
2009-12-01,6
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,2
2009-12-11,2
2009-12-11,2
2009-12-11,4
2009-12-11,2
2009-12-11,6
2009-12-11,6
2009-12-11,6
2009-12-11,6
2009-12-11,1
2009-12-11,4
2009-12-11,4
2009-12-11,10
2009-12-11,6
2009-12-11,6
2009-12-11,1
2009-12-11,4
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,6
2009-12-11,1
2009-12-11,3
2009-12-11,1
2009-12-11,3
2009-12-11,1
2009-12-11,2
2009-12-11,2
2009-12-11,1
2009-12-11,1
2009-12-11,2
2009-12-11,2
2009-12-11,2
2009-12-11,1
2009-12-11,1
2009-12-11,6
2009-12-11,12
2009-12-11,3
2009-12-11,1
2009-12-11,1
2009-12-11,2
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,1
2009-12-11,6
2009-12-11,2
2009-12-11,1
