invoicedate,quantity
2009-12-01,24
2009-12-01,24
2009-12-01,24
2009-12-01,24
2009-12-01,24
2009-12-01,24
2009-12-01,3
2009-12-01,48
2009-12-01,6
2009-12-01,6
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,6
2009-12-01,6
2009-12-01,6
2009-12-01,2
2009-12-01,3
2009-12-01,24
2009-12-01,24
2009-12-01,2
2009-12-01,27
2009-12-01,6
2009-12-01,6
2009-12-07,24
2009-12-07,24
2009-12-07,12
2009-12-07,12
2009-12-07,12
2009-12-07,25
2009-12-07,25
2009-12-07,24
2009-12-07,24
2009-12-07,25
2009-12-07,24
2009-12-07,24
2009-12-07,24
2009-12-07,24
2009-12-07,1
2009-12-07,2
2009-12-07,1
2009-12-07,2
2009-12-07,1
2009-12-07,2
2009-12-07,2
2009-12-07,2
2009-12-07,3
2009-12-07,4
2009-12-07,24
2009-12-07,12
2009-12-07,12
2009-12-07,12
2009-12-07,6
2009-12-07,4
2009-12-07,36
2009-12-07,4
2009-12-07,4
2009-12-07,3
2009-12-07,4
2009-12-07,8
2009-12-07,3
2009-12-07,2
2009-12-07,12
2009-12-07,12
2009-12-07,15
2009-12-07,12
2009-12-07,18
2009-12-07,12
2009-12-07,6
2009-12-07,12
2009-12-07,12
2009-12-07,18
2009-12-07,10
2009-12-07,14
2009-12-07,15
2009-12-07,10
2009-12-07,10
2009-12-07,10
2009-12-07,4
2009-12-07,1
2009-12-07,1
2009-12-07,1
2009-12-07,6
2009-12-07,8
2009-12-07,6
2009-12-07,1
2009-12-07,4
2009-12-07,12
2009-12-07,12
2009-12-07,1
2009-12-07,2
2009-12-07,3
2009-12-07,6
2009-12-07,12
2009-12-07,2
2009-12-07,12
2009-12-07,12
2009-12-07,6
2009-12-07,4
2009-12-07,2
2009-12-07,1
2009-12-07,1
2009-12-07,1
2009-12-07,1
2009-12-07,1
2009-12-07,1
2009-12-07,2
2009-12-07,1
2009-12-07,1
2009-12-07,2
2009-12-07,1
2009-12-07,1
2009-12-07,25
2009-12-07,25
2009-12-20,6
2009-12-20,6
2009-12-20,12
2009-12-20,6
2009-12-20,6
2009-12-20,2
2009-12-20,18
2009-12-20,4
2009-12-20,12
2009-12-20,12
2009-12-20,4
2009-12-20,12
2009-12-20,12
2009-12-20,8
2009-12-20,6
2009-12-20,4
2009-12-20,18
2009-12-20,8
2009-12-20,12
2009-12-20,12
2010-01-27,18
2010-01-27,12
2010-01-27,24
2010-01-27,24
2010-01-27,24
2010-01-27,2
2010-01-27,6
2010-01-27,12
2010-01-27,12
2010-01-27,12
2010-01-27,12
2010-01-27,12
2010-01-27,6
2010-01-27,12
2010-01-27,1
2010-01-27,48
2010-01-27,6
2010-01-27,12
2010-01-27,12
2010-01-27,4
2010-01-27,2
2010-01-27,6
2010-01-27,4
2010-01-27,4
2010-01-27,3
2010-01-27,4
2010-01-27,4
2010-01-27,6
2010-01-27,10
2010-01-27,4
2010-01-27,3
2010-01-27,12
2010-01-27,72
2010-01-27,12
2010-01-27,8
2010-01-27,48
2010-01-27,72
2010-01-27,18
2010-01-27,18
2010-01-27,6
2010-03-01,8
2010-03-01,2
2010-03-01,2
2010-03-01,5
2010-03-01,12
2010-03-01,48
2010-03-01,12
2010-03-01,1
2010-03-01,12
2010-03-01,18
2010-03-01,12
2010-03-01,12
2010-04-12,2
2010-04-12,2
2010-04-12,1
2010-04-12,2
2010-04-12,4
2010-04-12,1
2010-04-12,4
2010-04-12,12
2010-04-12,18
2010-04-12,18
2010-04-12,6
2010-04-12,12
2010-04-12,12
2010-04-12,2
2010-04-12,24
2010-04-12,24
2010-04-12,24
2010-04-12,12
2010-04-12,12
2010-04-12,12
2010-04-12,24
2010-04-12,1
2010-04-12,3
2010-04-12,3
2010-04-12,1
2010-04-12,2
2010-04-19,2
2010-04-19,2
2010-04-19,12
2010-04-19,12
2010-04-19,1
2010-04-19,1
2010-04-19,2
2010-04-19,3
2010-04-19,2
2010-04-19,8
2010-04-19,8
2010-04-19,6
2010-04-19,8
2010-04-19,6
2010-04-19,24
2010-04-19,24
2010-04-19,12
2010-04-19,12
2010-04-19,12
2010-04-19,24
2010-04-19,6
2010-04-19,6
2010-04-19,6
2010-04-19,17
2010-04-19,7
2010-04-19,8
2010-04-19,12
2010-04-19,27
2010-04-19,2
2010-04-19,2
2010-04-19,7
2010-04-19,24
2010-04-19,18
2010-04-19,12
2010-04-19,12
2010-04-19,24
2010-04-19,6
2010-04-19,24
2010-04-19,12
2010-04-19,6
2010-04-19,6
2010-04-19,3
2010-04-19,2
2010-04-21,1
2010-04-21,2
2010-04-21,6
2010-04-21,16
2010-04-21,24
2010-04-21,12
2010-04-21,12
2010-04-21,12
2010-04-21,12
2010-04-21,24
2010-04-21,12
2010-04-21,12
2010-04-21,12
2010-04-21,12
2010-04-21,12
2010-04-21,6
2010-04-21,6
2010-04-21,2
2010-04-21,12
2010-04-21,4
2010-04-21,12
2010-04-21,24
2010-04-21,6
2010-04-21,6
2010-04-21,4
2010-04-21,4
2010-04-21,6
2010-04-21,6
2010-04-21,4
2010-04-21,4
2010-04-21,8
2010-04-21,8
2010-04-21,2
2010-04-21,2
2010-04-21,6
2010-04-21,72
2010-04-21,24
2010-05-23,8
2010-05-23,12
2010-05-23,4
2010-05-23,6
2010-05-23,8
2010-05-23,2
2010-05-23,3
2010-05-23,16
2010-05-23,12
2010-05-23,24
2010-05-23,12
2010-05-23,12
2010-05-23,12
2010-05-23,6
2010-05-23,12
2010-05-23,12
2010-05-23,12
2010-05-23,24
2010-05-23,12
2010-05-23,12
2010-06-09,2
2010-06-09,1
2010-06-09,1
2010-06-09,12
2010-06-09,12
2010-06-09,48
2010-06-09,14
2010-06-09,4
2010-06-09,41
2010-06-09,24
2010-06-09,6
2010-06-09,6
2010-06-09,6
2010-06-09,6
2010-06-09,10
2010-06-09,6
2010-06-09,12
2010-06-09,6
2010-06-09,24
2010-06-09,24
2010-06-09,18
2010-06-09,1
2010-06-09,12
2010-06-09,12
2010-06-09,12
2010-06-09,48
2010-07-09,24
2010-07-09,12
2010-07-09,12
2010-07-09,12
2010-07-09,12
2010-07-09,25
2010-07-09,25
2010-07-09,24
2010-07-09,36
2010-07-09,12
2010-07-09,2
2010-07-09,2
2010-07-09,6
2010-07-09,6
2010-07-09,6
2010-07-09,1
2010-07-09,2
2010-07-09,2
2010-07-09,2
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,72
2010-07-21,12
2010-07-21,12
2010-07-21,8
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,3
2010-07-21,8
2010-07-21,2
2010-07-21,2
2010-07-21,2
2010-07-21,1
2010-07-21,1
2010-07-21,6
2010-07-21,6
2010-07-21,72
2010-07-21,24
2010-07-21,4
2010-07-21,12
2010-07-21,12
2010-07-21,12
2010-07-21,6
2010-07-21,6
2010-07-21,6
2010-07-21,6
2010-07-21,3
2010-07-21,2
2010-07-21,12
2010-07-21,6
2010-07-21,4
2010-07-21,4
2010-07-21,3
2010-07-21,3
2010-07-21,6
2010-07-21,24
2010-07-21,24
2010-07-21,6
2010-07-21,10
2010-07-21,6
2010-07-21,6
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,24
2010-07-21,8
